pulled_at,source,date,headline,url,tags
2026-07-21T17:21:14.791011,SEC 8-K (putative class action),2026-07-15,SLM Student Loan Trust 2005-5  (CIK 0001330979) — 8-K referencing 'putative class action',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001330979,class-action
2026-07-21T17:21:14.791011,SEC 8-K (putative class action),2026-07-15,SLM Student Loan Trust 2005-7  (CIK 0001331696) — 8-K referencing 'putative class action',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001331696,class-action
2026-07-21T17:21:14.791011,SEC 8-K (putative class action),2026-07-15,SLM Student Loan Trust 2006-5  (CIK 0001358239) — 8-K referencing 'putative class action',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001358239,class-action
2026-07-21T17:21:14.791011,SEC 8-K (wrongful termination),2026-07-17,"Hagerty, Inc.  (HGTY)  (CIK 0001840776) — 8-K referencing 'wrongful termination'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001840776,
2026-07-21T17:21:14.791011,SEC 8-K (wrongful termination),2026-07-21,MARRIOTT VACATIONS WORLDWIDE Corp  (VAC)  (CIK 0001524358) — 8-K referencing 'wrongful termination',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001524358,
2026-07-21T17:21:14.791011,SEC 8-K (wrongful termination),2026-07-20,"Kalaris Therapeutics, Inc.  (KLRS)  (CIK 0001754068) — 8-K referencing 'wrongful termination'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001754068,
2026-07-21T17:21:14.791011,SEC 8-K (wrongful termination),2026-07-17,"Hagerty, Inc.  (HGTY)  (CIK 0001840776) — 8-K referencing 'wrongful termination'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001840776,
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-21,MARRIOTT VACATIONS WORLDWIDE Corp  (VAC)  (CIK 0001524358) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001524358,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-20,"USA Rare Earth, Inc.  (USAR)  (CIK 0001970622) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001970622,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"PSB Financial, Inc.  (PNSB)  (CIK 0002087419) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002087419,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"PSB Financial, Inc.  (PNSB)  (CIK 0002087419) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002087419,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,"Accel Entertainment, Inc.  (ACEL)  (CIK 0001698991) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001698991,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-16,"Harmony Biosciences Holdings, Inc.  (HRMY)  (CIK 0001802665) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001802665,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,MSC INDUSTRIAL DIRECT CO INC  (MSM)  (CIK 0001003078) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001003078,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"Chiron Real Estate Inc.  (XRN, XRN-PA, XRN-PB)  (CIK 0001533615) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001533615,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"Chiron Real Estate Inc.  (XRN, XRN-PA, XRN-PB)  (CIK 0001533615) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001533615,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"Chiron Real Estate Inc.  (XRN, XRN-PA, XRN-PB)  (CIK 0001533615) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001533615,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"Chiron Real Estate Inc.  (XRN, XRN-PA, XRN-PB)  (CIK 0001533615) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001533615,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,"Cadrenal Therapeutics, Inc.  (CVKD)  (CIK 0001937993) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001937993,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,Coronado Global Resources Inc.  (CODQL)  (CIK 0001770561) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001770561,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-17,LINDSAY CORP  (LNN)  (CIK 0000836157) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000836157,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-21,"Twenty One Capital, Inc.  (XXI)  (CIK 0002070457) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002070457,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-20,"USA Rare Earth, Inc.  (USAR)  (CIK 0001970622) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001970622,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-15,"Lamb Weston Holdings, Inc.  (LW)  (CIK 0001679273) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001679273,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,"Accel Entertainment, Inc.  (ACEL)  (CIK 0001698991) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001698991,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,PVH CORP. /DE/  (PVH)  (CIK 0000078239) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000078239,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,Stonepeak-Plus Infrastructure Fund LP  (CIK 0002045458) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002045458,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-16,International Stem Cell CORP  (ISCO)  (CIK 0001355790) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001355790,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-20,"Personalis, Inc.  (PSNL)  (CIK 0001527753) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001527753,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-20,"Tempus AI, Inc.  (TEM)  (CIK 0001717115) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001717115,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-14,DIODES INC /DEL/  (DIOD)  (CIK 0000029002) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000029002,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-15,TRICO BANCSHARES /  (TCBK)  (CIK 0000356171) — 8-K referencing 'whistleblower',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000356171,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (whistleblower),2026-07-15,"FIRST HAWAIIAN, INC.  (FHB)  (CIK 0000036377) — 8-K referencing 'whistleblower'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000036377,whistleblower
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,"Personalis, Inc.  (PSNL)  (CIK 0001527753) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001527753,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,"Tempus AI, Inc.  (TEM)  (CIK 0001717115) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001717115,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-21,"M&T BANK CORP  (MTB, MTB-PH, MTB-PJ, MTB-PK)  (CIK 0000036270) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000036270,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-16,International Stem Cell CORP  (ISCO)  (CIK 0001355790) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001355790,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-16,"Cardiff Oncology, Inc.  (CRDF)  (CIK 0001213037) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001213037,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-15,"AEON Biopharma, Inc.  (AEON)  (CIK 0001837607) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001837607,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-14,"Alto Neuroscience, Inc.  (ANRO)  (CIK 0001999480) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001999480,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-15,"CRESCENT BIOPHARMA, INC.  (CBIO)  (CIK 0001253689) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001253689,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-14,"NextCure, Inc.  (NXTC)  (CIK 0001661059) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001661059,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-15,Genasys Inc.  (GNSS)  (CIK 0000924383) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000924383,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-15,"Senti Biosciences Holdings, Inc.  (SNTI)  (CIK 0001854270) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001854270,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-16,"Array Technologies, Inc.  (ARRY)  (CIK 0001820721) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001820721,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-16,"Distribution Solutions Group, Inc.  (DSGR)  (CIK 0000703604) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000703604,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-14,"Strategic Storage Trust VI, Inc.  (SGST)  (CIK 0001852575) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001852575,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,AdaptHealth Corp.  (AHCO)  (CIK 0001725255) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001725255,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-14,DIODES INC /DEL/  (DIOD)  (CIK 0000029002) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000029002,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,Magnolia Oil & Gas Corp  (MGY)  (CIK 0001698990) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001698990,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,"LXP Industrial Trust  (LXP, LXP-PC)  (CIK 0000910108) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000910108,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-16,AtaiBeckley Inc.  (ATAI)  (CIK 0002081043) — 8-K referencing 'consent decree',https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002081043,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-20,"EPR PROPERTIES  (EPR, EPR-PC, EPR-PE, EPR-PG)  (CIK 0001045450) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001045450,
2026-07-21T17:21:14.791011,SEC 8-K (consent decree),2026-07-15,"Celsius Holdings, Inc.  (CELH)  (CIK 0001341766) — 8-K referencing 'consent decree'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001341766,
